question_index,question,question_type,group_type,group_value,answer,count,percent,n_answered
7,"Mul pole õrna aimugi, kelleks ma tahan saada.",likert,Overall,All,pigem olen nõus,86,0.21882951653944022,393
7,"Mul pole õrna aimugi, kelleks ma tahan saada.",likert,Overall,All,olen täiesti nõus,85,0.21628498727735368,393
8,Tegin enamiku kodutöid tehisaruga.,likert,Overall,All,pole üldse nõus,134,0.34096692111959287,393
8,Tegin enamiku kodutöid tehisaruga.,likert,Overall,All,pigem ei ole nõus,141,0.35877862595419846,393
8,Tegin enamiku kodutöid tehisaruga.,likert,Overall,All,ei oska öelda,18,0.04580152671755725,393
8,Tegin enamiku kodutöid tehisaruga.,likert,Overall,All,pigem olen nõus,80,0.2035623409669211,393
8,Tegin enamiku kodutöid tehisaruga.,likert,Overall,All,olen täiesti nõus,18,0.04580152671755725,393
8,Tegin enamiku kodutöid tehisaruga.,likert,Overall,All,ei soovi avaldada,2,0.005089058524173028,393
9,"Olen teeselnud tunnis, et sain õpetajast/tunni teemast aru",likert,Overall,All,pole üldse nõus,30,0.07633587786259542,393
9,"Olen teeselnud tunnis, et sain õpetajast/tunni teemast aru",likert,Overall,All,pigem ei ole nõus,59,0.15012722646310434,393
9,"Olen teeselnud tunnis, et sain õpetajast/tunni teemast aru",likert,Overall,All,ei oska öelda,18,0.04580152671755725,393
9,"Olen teeselnud tunnis, et sain õpetajast/tunni teemast aru",likert,Overall,All,pigem olen nõus,150,0.3816793893129771,393
9,"Olen teeselnud tunnis, et sain õpetajast/tunni teemast aru",likert,Overall,All,olen täiesti nõus,135,0.3435114503816794,393
9,"Olen teeselnud tunnis, et sain õpetajast/tunni teemast aru",likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
10,"Mõtlen pärast lõpetamist võtta vaheaasta, et töötada või puhata.",likert,Overall,All,pole üldse nõus,158,0.4020356234096692,393
10,"Mõtlen pärast lõpetamist võtta vaheaasta, et töötada või puhata.",likert,Overall,All,pigem ei ole nõus,87,0.22137404580152673,393
10,"Mõtlen pärast lõpetamist võtta vaheaasta, et töötada või puhata.",likert,Overall,All,ei oska öelda,89,0.22646310432569974,393
10,"Mõtlen pärast lõpetamist võtta vaheaasta, et töötada või puhata.",likert,Overall,All,pigem olen nõus,35,0.089058524173028,393
10,"Mõtlen pärast lõpetamist võtta vaheaasta, et töötada või puhata.",likert,Overall,All,olen täiesti nõus,24,0.061068702290076333,393
11,Olen vaadanud Malluka registrit.,single_choice,Overall,All,Jah,205,0.5216284987277354,393
11,Olen vaadanud Malluka registrit.,single_choice,Overall,All,Ei,180,0.4580152671755725,393
11,Olen vaadanud Malluka registrit.,single_choice,Overall,All,Ei oska öelda,8,0.020356234096692113,393
12,Eestis tühistatakse inimesi liiga kergekäeliselt.,likert,Overall,All,pole üldse nõus,30,0.07633587786259542,393
12,Eestis tühistatakse inimesi liiga kergekäeliselt.,likert,Overall,All,pigem ei ole nõus,87,0.22137404580152673,393
12,Eestis tühistatakse inimesi liiga kergekäeliselt.,likert,Overall,All,ei oska öelda,183,0.46564885496183206,393
12,Eestis tühistatakse inimesi liiga kergekäeliselt.,likert,Overall,All,pigem olen nõus,71,0.1806615776081425,393
12,Eestis tühistatakse inimesi liiga kergekäeliselt.,likert,Overall,All,olen täiesti nõus,21,0.05343511450381679,393
12,Eestis tühistatakse inimesi liiga kergekäeliselt.,likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
13,Tahan nüüd endale tätoveeringu teha lasta.,likert,Overall,All,pole üldse nõus,107,0.272264631043257,393
13,Tahan nüüd endale tätoveeringu teha lasta.,likert,Overall,All,pigem ei ole nõus,66,0.16793893129770993,393
13,Tahan nüüd endale tätoveeringu teha lasta.,likert,Overall,All,ei oska öelda,51,0.1297709923664122,393
13,Tahan nüüd endale tätoveeringu teha lasta.,likert,Overall,All,pigem olen nõus,82,0.20865139949109415,393
13,Tahan nüüd endale tätoveeringu teha lasta.,likert,Overall,All,olen täiesti nõus,87,0.22137404580152673,393
14,Armastan käia metsas.,likert,Overall,All,pole üldse nõus,11,0.027989821882951654,393
14,Armastan käia metsas.,likert,Overall,All,pigem ei ole nõus,31,0.07888040712468193,393
14,Armastan käia metsas.,likert,Overall,All,ei oska öelda,24,0.061068702290076333,393
14,Armastan käia metsas.,likert,Overall,All,pigem olen nõus,137,0.3486005089058524,393
14,Armastan käia metsas.,likert,Overall,All,olen täiesti nõus,190,0.48346055979643765,393
15,Armastan käia seenel.,likert,Overall,All,pole üldse nõus,67,0.17048346055979643,393
15,Armastan käia seenel.,likert,Overall,All,pigem ei ole nõus,102,0.2595419847328244,393
15,Armastan käia seenel.,likert,Overall,All,ei oska öelda,55,0.13994910941475827,393
15,Armastan käia seenel.,likert,Overall,All,pigem olen nõus,109,0.27735368956743,393
15,Armastan käia seenel.,likert,Overall,All,olen täiesti nõus,60,0.15267175572519084,393
16,Mulle meeldib käia pidudel.,likert,Overall,All,pole üldse nõus,27,0.06870229007633588,393
16,Mulle meeldib käia pidudel.,likert,Overall,All,pigem ei ole nõus,60,0.15267175572519084,393
16,Mulle meeldib käia pidudel.,likert,Overall,All,ei oska öelda,31,0.07888040712468193,393
16,Mulle meeldib käia pidudel.,likert,Overall,All,pigem olen nõus,148,0.37659033078880405,393
16,Mulle meeldib käia pidudel.,likert,Overall,All,olen täiesti nõus,127,0.3231552162849873,393
17,Mulle meeldib teha sporti.,likert,Overall,All,pole üldse nõus,7,0.017811704834605598,393
17,Mulle meeldib teha sporti.,likert,Overall,All,pigem ei ole nõus,37,0.09414758269720101,393
17,Mulle meeldib teha sporti.,likert,Overall,All,ei oska öelda,25,0.06361323155216285,393
17,Mulle meeldib teha sporti.,likert,Overall,All,pigem olen nõus,142,0.361323155216285,393
17,Mulle meeldib teha sporti.,likert,Overall,All,olen täiesti nõus,180,0.4580152671755725,393
17,Mulle meeldib teha sporti.,likert,Overall,All,ei soovi avaldada,2,0.005089058524173028,393
18,Ma hakkan gümnaasiumis käimist taga igatsema.,likert,Overall,All,pole üldse nõus,48,0.12213740458015267,393
18,Ma hakkan gümnaasiumis käimist taga igatsema.,likert,Overall,All,pigem ei ole nõus,58,0.1475826972010178,393
18,Ma hakkan gümnaasiumis käimist taga igatsema.,likert,Overall,All,ei oska öelda,82,0.20865139949109415,393
18,Ma hakkan gümnaasiumis käimist taga igatsema.,likert,Overall,All,pigem olen nõus,121,0.30788804071246817,393
18,Ma hakkan gümnaasiumis käimist taga igatsema.,likert,Overall,All,olen täiesti nõus,84,0.21374045801526717,393
19,Poliitikud tunduvad mulle äärmiselt usaldusväärsed ja targad inimesed.,likert,Overall,All,pole üldse nõus,127,0.3231552162849873,393
19,Poliitikud tunduvad mulle äärmiselt usaldusväärsed ja targad inimesed.,likert,Overall,All,pigem ei ole nõus,225,0.5725190839694656,393
19,Poliitikud tunduvad mulle äärmiselt usaldusväärsed ja targad inimesed.,likert,Overall,All,ei oska öelda,32,0.08142493638676845,393
19,Poliitikud tunduvad mulle äärmiselt usaldusväärsed ja targad inimesed.,likert,Overall,All,pigem olen nõus,8,0.020356234096692113,393
19,Poliitikud tunduvad mulle äärmiselt usaldusväärsed ja targad inimesed.,likert,Overall,All,olen täiesti nõus,1,0.002544529262086514,393
20,Eesti on salliv riik eri rahvuste suhtes.,likert,Overall,All,pole üldse nõus,28,0.07124681933842239,393
20,Eesti on salliv riik eri rahvuste suhtes.,likert,Overall,All,pigem ei ole nõus,136,0.3460559796437659,393
20,Eesti on salliv riik eri rahvuste suhtes.,likert,Overall,All,ei oska öelda,70,0.178117048346056,393
20,Eesti on salliv riik eri rahvuste suhtes.,likert,Overall,All,pigem olen nõus,145,0.36895674300254455,393
20,Eesti on salliv riik eri rahvuste suhtes.,likert,Overall,All,olen täiesti nõus,14,0.035623409669211195,393
21,Eesti on salliv riik seksuaalvähemuste suhtes.,likert,Overall,All,pole üldse nõus,40,0.10178117048346055,393
21,Eesti on salliv riik seksuaalvähemuste suhtes.,likert,Overall,All,pigem ei ole nõus,155,0.3944020356234097,393
21,Eesti on salliv riik seksuaalvähemuste suhtes.,likert,Overall,All,ei oska öelda,93,0.2366412213740458,393
21,Eesti on salliv riik seksuaalvähemuste suhtes.,likert,Overall,All,pigem olen nõus,97,0.24681933842239187,393
21,Eesti on salliv riik seksuaalvähemuste suhtes.,likert,Overall,All,olen täiesti nõus,7,0.017811704834605598,393
21,Eesti on salliv riik seksuaalvähemuste suhtes.,likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
22,Eesti võiks olla konservatiivsem.,likert,Overall,All,pole üldse nõus,136,0.3460559796437659,393
22,Eesti võiks olla konservatiivsem.,likert,Overall,All,pigem ei ole nõus,96,0.24427480916030533,393
22,Eesti võiks olla konservatiivsem.,likert,Overall,All,ei oska öelda,99,0.25190839694656486,393
22,Eesti võiks olla konservatiivsem.,likert,Overall,All,pigem olen nõus,43,0.10941475826972011,393
22,Eesti võiks olla konservatiivsem.,likert,Overall,All,olen täiesti nõus,16,0.04071246819338423,393
22,Eesti võiks olla konservatiivsem.,likert,Overall,All,ei soovi avaldada,3,0.007633587786259542,393
23,"Olen uhke, et olen eestlane.",likert,Overall,All,pole üldse nõus,4,0.010178117048346057,393
23,"Olen uhke, et olen eestlane.",likert,Overall,All,pigem ei ole nõus,15,0.03816793893129771,393
23,"Olen uhke, et olen eestlane.",likert,Overall,All,ei oska öelda,27,0.06870229007633588,393
23,"Olen uhke, et olen eestlane.",likert,Overall,All,pigem olen nõus,140,0.356234096692112,393
23,"Olen uhke, et olen eestlane.",likert,Overall,All,olen täiesti nõus,206,0.5241730279898219,393
23,"Olen uhke, et olen eestlane.",likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
24,"Pean loomulikuks, et inimene võib ise määratleda, mis soost ta on.",likert,Overall,All,pole üldse nõus,54,0.13740458015267176,393
24,"Pean loomulikuks, et inimene võib ise määratleda, mis soost ta on.",likert,Overall,All,pigem ei ole nõus,57,0.1450381679389313,393
24,"Pean loomulikuks, et inimene võib ise määratleda, mis soost ta on.",likert,Overall,All,ei oska öelda,60,0.15267175572519084,393
24,"Pean loomulikuks, et inimene võib ise määratleda, mis soost ta on.",likert,Overall,All,pigem olen nõus,96,0.24427480916030533,393
24,"Pean loomulikuks, et inimene võib ise määratleda, mis soost ta on.",likert,Overall,All,olen täiesti nõus,122,0.3104325699745547,393
24,"Pean loomulikuks, et inimene võib ise määratleda, mis soost ta on.",likert,Overall,All,ei soovi avaldada,4,0.010178117048346057,393
25,Eestis peaks olema rohkem unisex-WC-sid.,likert,Overall,All,pole üldse nõus,75,0.19083969465648856,393
25,Eestis peaks olema rohkem unisex-WC-sid.,likert,Overall,All,pigem ei ole nõus,80,0.2035623409669211,393
25,Eestis peaks olema rohkem unisex-WC-sid.,likert,Overall,All,ei oska öelda,127,0.3231552162849873,393
25,Eestis peaks olema rohkem unisex-WC-sid.,likert,Overall,All,pigem olen nõus,67,0.17048346055979643,393
25,Eestis peaks olema rohkem unisex-WC-sid.,likert,Overall,All,olen täiesti nõus,44,0.11195928753180662,393
26,"Võimekas juht võib olla nii naine kui mees. Loevad oskused, mitte sugu.",likert,Overall,All,pigem ei ole nõus,5,0.01272264631043257,393
26,"Võimekas juht võib olla nii naine kui mees. Loevad oskused, mitte sugu.",likert,Overall,All,ei oska öelda,1,0.002544529262086514,393
26,"Võimekas juht võib olla nii naine kui mees. Loevad oskused, mitte sugu.",likert,Overall,All,pigem olen nõus,22,0.05597964376590331,393
26,"Võimekas juht võib olla nii naine kui mees. Loevad oskused, mitte sugu.",likert,Overall,All,olen täiesti nõus,364,0.926208651399491,393
26,"Võimekas juht võib olla nii naine kui mees. Loevad oskused, mitte sugu.",likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
27,"Kokkama, koristama ja pesu pesema peavad koos elavad inimesed võrdselt, sõltumata soost.",likert,Overall,All,pole üldse nõus,3,0.007633587786259542,393
27,"Kokkama, koristama ja pesu pesema peavad koos elavad inimesed võrdselt, sõltumata soost.",likert,Overall,All,pigem ei ole nõus,8,0.020356234096692113,393
27,"Kokkama, koristama ja pesu pesema peavad koos elavad inimesed võrdselt, sõltumata soost.",likert,Overall,All,ei oska öelda,17,0.043256997455470736,393
27,"Kokkama, koristama ja pesu pesema peavad koos elavad inimesed võrdselt, sõltumata soost.",likert,Overall,All,pigem olen nõus,64,0.1628498727735369,393
27,"Kokkama, koristama ja pesu pesema peavad koos elavad inimesed võrdselt, sõltumata soost.",likert,Overall,All,olen täiesti nõus,301,0.7659033078880407,393
28,"Nõusolek on see, kui ma ütlen „jah”, mitte see, kui ma ei öelnud „ei”.",likert,Overall,All,pole üldse nõus,4,0.010178117048346057,393
28,"Nõusolek on see, kui ma ütlen „jah”, mitte see, kui ma ei öelnud „ei”.",likert,Overall,All,pigem ei ole nõus,4,0.010178117048346057,393
28,"Nõusolek on see, kui ma ütlen „jah”, mitte see, kui ma ei öelnud „ei”.",likert,Overall,All,ei oska öelda,11,0.027989821882951654,393
28,"Nõusolek on see, kui ma ütlen „jah”, mitte see, kui ma ei öelnud „ei”.",likert,Overall,All,pigem olen nõus,51,0.1297709923664122,393
28,"Nõusolek on see, kui ma ütlen „jah”, mitte see, kui ma ei öelnud „ei”.",likert,Overall,All,olen täiesti nõus,323,0.821882951653944,393
29,Laste saamine on iga täiskasvanud kodaniku vastutus oma rahvuse säilimise nimel.,likert,Overall,All,pole üldse nõus,121,0.30788804071246817,393
29,Laste saamine on iga täiskasvanud kodaniku vastutus oma rahvuse säilimise nimel.,likert,Overall,All,pigem ei ole nõus,118,0.30025445292620867,393
29,Laste saamine on iga täiskasvanud kodaniku vastutus oma rahvuse säilimise nimel.,likert,Overall,All,ei oska öelda,66,0.16793893129770993,393
29,Laste saamine on iga täiskasvanud kodaniku vastutus oma rahvuse säilimise nimel.,likert,Overall,All,pigem olen nõus,59,0.15012722646310434,393
29,Laste saamine on iga täiskasvanud kodaniku vastutus oma rahvuse säilimise nimel.,likert,Overall,All,olen täiesti nõus,27,0.06870229007633588,393
29,Laste saamine on iga täiskasvanud kodaniku vastutus oma rahvuse säilimise nimel.,likert,Overall,All,ei soovi avaldada,2,0.005089058524173028,393
30,Keskkonnahoid on mulle olulisem kui majanduskasv.,likert,Overall,All,pole üldse nõus,17,0.043256997455470736,393
30,Keskkonnahoid on mulle olulisem kui majanduskasv.,likert,Overall,All,pigem ei ole nõus,58,0.1475826972010178,393
30,Keskkonnahoid on mulle olulisem kui majanduskasv.,likert,Overall,All,ei oska öelda,125,0.31806615776081426,393
30,Keskkonnahoid on mulle olulisem kui majanduskasv.,likert,Overall,All,pigem olen nõus,141,0.35877862595419846,393
30,Keskkonnahoid on mulle olulisem kui majanduskasv.,likert,Overall,All,olen täiesti nõus,51,0.1297709923664122,393
30,Keskkonnahoid on mulle olulisem kui majanduskasv.,likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
31,Eesti tegeleb kliimakriisi leevendamisega piisavalt.,likert,Overall,All,pole üldse nõus,23,0.058524173027989825,393
31,Eesti tegeleb kliimakriisi leevendamisega piisavalt.,likert,Overall,All,pigem ei ole nõus,124,0.3155216284987277,393
31,Eesti tegeleb kliimakriisi leevendamisega piisavalt.,likert,Overall,All,ei oska öelda,146,0.37150127226463103,393
31,Eesti tegeleb kliimakriisi leevendamisega piisavalt.,likert,Overall,All,pigem olen nõus,76,0.19338422391857507,393
31,Eesti tegeleb kliimakriisi leevendamisega piisavalt.,likert,Overall,All,olen täiesti nõus,24,0.061068702290076333,393
32,Jalakäijate turvalisuse huvides võiks olla linnades autode kiiruspiirang 30 km/h.,likert,Overall,All,pole üldse nõus,123,0.31297709923664124,393
32,Jalakäijate turvalisuse huvides võiks olla linnades autode kiiruspiirang 30 km/h.,likert,Overall,All,pigem ei ole nõus,163,0.41475826972010177,393
32,Jalakäijate turvalisuse huvides võiks olla linnades autode kiiruspiirang 30 km/h.,likert,Overall,All,ei oska öelda,55,0.13994910941475827,393
32,Jalakäijate turvalisuse huvides võiks olla linnades autode kiiruspiirang 30 km/h.,likert,Overall,All,pigem olen nõus,41,0.10432569974554708,393
32,Jalakäijate turvalisuse huvides võiks olla linnades autode kiiruspiirang 30 km/h.,likert,Overall,All,olen täiesti nõus,11,0.027989821882951654,393
33,Linnades võiks olla rohkem puid ja põõsaid.,likert,Overall,All,pole üldse nõus,2,0.005089058524173028,393
33,Linnades võiks olla rohkem puid ja põõsaid.,likert,Overall,All,pigem ei ole nõus,9,0.022900763358778626,393
33,Linnades võiks olla rohkem puid ja põõsaid.,likert,Overall,All,ei oska öelda,21,0.05343511450381679,393
33,Linnades võiks olla rohkem puid ja põõsaid.,likert,Overall,All,pigem olen nõus,159,0.40458015267175573,393
33,Linnades võiks olla rohkem puid ja põõsaid.,likert,Overall,All,olen täiesti nõus,202,0.5139949109414759,393
34,Eestis on igas maakonnas ja linnas võimalik täisväärtuslikku elu elada.,likert,Overall,All,pole üldse nõus,52,0.13231552162849872,393
34,Eestis on igas maakonnas ja linnas võimalik täisväärtuslikku elu elada.,likert,Overall,All,pigem ei ole nõus,141,0.35877862595419846,393
34,Eestis on igas maakonnas ja linnas võimalik täisväärtuslikku elu elada.,likert,Overall,All,ei oska öelda,65,0.16539440203562342,393
34,Eestis on igas maakonnas ja linnas võimalik täisväärtuslikku elu elada.,likert,Overall,All,pigem olen nõus,97,0.24681933842239187,393
34,Eestis on igas maakonnas ja linnas võimalik täisväärtuslikku elu elada.,likert,Overall,All,olen täiesti nõus,38,0.09669211195928754,393
35,Olen valmis vajadusel Eesti kaitsmiseks relva haarama.,likert,Overall,All,pole üldse nõus,67,0.17048346055979643,393
35,Olen valmis vajadusel Eesti kaitsmiseks relva haarama.,likert,Overall,All,pigem ei ole nõus,90,0.22900763358778625,393
35,Olen valmis vajadusel Eesti kaitsmiseks relva haarama.,likert,Overall,All,ei oska öelda,91,0.23155216284987276,393
35,Olen valmis vajadusel Eesti kaitsmiseks relva haarama.,likert,Overall,All,pigem olen nõus,75,0.19083969465648856,393
35,Olen valmis vajadusel Eesti kaitsmiseks relva haarama.,likert,Overall,All,olen täiesti nõus,65,0.16539440203562342,393
35,Olen valmis vajadusel Eesti kaitsmiseks relva haarama.,likert,Overall,All,ei soovi avaldada,5,0.01272264631043257,393
36,Mul on kindel seisukoht Ukraina-Venemaa sõjas.,likert,Overall,All,pole üldse nõus,5,0.01272264631043257,393
36,Mul on kindel seisukoht Ukraina-Venemaa sõjas.,likert,Overall,All,pigem ei ole nõus,12,0.030534351145038167,393
36,Mul on kindel seisukoht Ukraina-Venemaa sõjas.,likert,Overall,All,ei oska öelda,42,0.10687022900763359,393
36,Mul on kindel seisukoht Ukraina-Venemaa sõjas.,likert,Overall,All,pigem olen nõus,95,0.24173027989821882,393
36,Mul on kindel seisukoht Ukraina-Venemaa sõjas.,likert,Overall,All,olen täiesti nõus,235,0.5979643765903307,393
36,Mul on kindel seisukoht Ukraina-Venemaa sõjas.,likert,Overall,All,ei soovi avaldada,4,0.010178117048346057,393
37,Mul on kindel seisukoht Iisraeli-Palestiina konfliktis.,likert,Overall,All,pole üldse nõus,20,0.05089058524173028,393
37,Mul on kindel seisukoht Iisraeli-Palestiina konfliktis.,likert,Overall,All,pigem ei ole nõus,38,0.09669211195928754,393
37,Mul on kindel seisukoht Iisraeli-Palestiina konfliktis.,likert,Overall,All,ei oska öelda,136,0.3460559796437659,393
37,Mul on kindel seisukoht Iisraeli-Palestiina konfliktis.,likert,Overall,All,pigem olen nõus,92,0.2340966921119593,393
37,Mul on kindel seisukoht Iisraeli-Palestiina konfliktis.,likert,Overall,All,olen täiesti nõus,103,0.26208651399491095,393
37,Mul on kindel seisukoht Iisraeli-Palestiina konfliktis.,likert,Overall,All,ei soovi avaldada,4,0.010178117048346057,393
38,Romantiline suhe on minu jaoks oluline osa elust.,likert,Overall,All,pole üldse nõus,16,0.04071246819338423,393
38,Romantiline suhe on minu jaoks oluline osa elust.,likert,Overall,All,pigem ei ole nõus,42,0.10687022900763359,393
38,Romantiline suhe on minu jaoks oluline osa elust.,likert,Overall,All,ei oska öelda,28,0.07124681933842239,393
38,Romantiline suhe on minu jaoks oluline osa elust.,likert,Overall,All,pigem olen nõus,155,0.3944020356234097,393
38,Romantiline suhe on minu jaoks oluline osa elust.,likert,Overall,All,olen täiesti nõus,149,0.3791348600508906,393
38,Romantiline suhe on minu jaoks oluline osa elust.,likert,Overall,All,ei soovi avaldada,3,0.007633587786259542,393
39,Näen abiellumist olulise ja loomuliku osana oma tulevikust.,likert,Overall,All,pole üldse nõus,40,0.10178117048346055,393
39,Näen abiellumist olulise ja loomuliku osana oma tulevikust.,likert,Overall,All,pigem ei ole nõus,59,0.15012722646310434,393
39,Näen abiellumist olulise ja loomuliku osana oma tulevikust.,likert,Overall,All,ei oska öelda,64,0.1628498727735369,393
39,Näen abiellumist olulise ja loomuliku osana oma tulevikust.,likert,Overall,All,pigem olen nõus,121,0.30788804071246817,393
39,Näen abiellumist olulise ja loomuliku osana oma tulevikust.,likert,Overall,All,olen täiesti nõus,109,0.27735368956743,393
40,Soovin kindlasti tulevikus saada lapsi.,likert,Overall,All,pole üldse nõus,37,0.09414758269720101,393
40,Soovin kindlasti tulevikus saada lapsi.,likert,Overall,All,pigem ei ole nõus,35,0.089058524173028,393
40,Soovin kindlasti tulevikus saada lapsi.,likert,Overall,All,ei oska öelda,75,0.19083969465648856,393
40,Soovin kindlasti tulevikus saada lapsi.,likert,Overall,All,pigem olen nõus,107,0.272264631043257,393
40,Soovin kindlasti tulevikus saada lapsi.,likert,Overall,All,olen täiesti nõus,138,0.3511450381679389,393
40,Soovin kindlasti tulevikus saada lapsi.,likert,Overall,All,ei soovi avaldada,1,0.002544529262086514,393
41,Tahaks tulevikus pigem koera või kassi kui last.,likert,Overall,All,pole üldse nõus,69,0.17557251908396945,393
41,Tahaks tulevikus pigem koera või kassi kui last.,likert,Overall,All,pigem ei ole nõus,122,0.3104325699745547,393
41,Tahaks tulevikus pigem koera või kassi kui last.,likert,Overall,All,ei oska öelda,82,0.20865139949109415,393
41,Tahaks tulevikus pigem koera või kassi kui last.,likert,Overall,All,pigem olen nõus,70,0.178117048346056,393
41,Tahaks tulevikus pigem koera või kassi kui last.,likert,Overall,All,olen täiesti nõus,50,0.1272264631043257,393
42,"Minu jaoks on tulevikus oluline just Eesti riigis oma pere luua, mitte välismaal.",likert,Overall,All,pole üldse nõus,42,0.10687022900763359,393
42,"Minu jaoks on tulevikus oluline just Eesti riigis oma pere luua, mitte välismaal.",likert,Overall,All,pigem ei ole nõus,81,0.20610687022900764,393
42,"Minu jaoks on tulevikus oluline just Eesti riigis oma pere luua, mitte välismaal.",likert,Overall,All,ei oska öelda,117,0.29770992366412213,393
42,"Minu jaoks on tulevikus oluline just Eesti riigis oma pere luua, mitte välismaal.",likert,Overall,All,pigem olen nõus,94,0.23918575063613232,393
42,"Minu jaoks on tulevikus oluline just Eesti riigis oma pere luua, mitte välismaal.",likert,Overall,All,olen täiesti nõus,59,0.15012722646310434,393
43,Minu jaoks on üürikorteris elada sama hea kui endale (pangalaenuga) ostetud kodus.,likert,Overall,All,pole üldse nõus,91,0.23155216284987276,393
43,Minu jaoks on üürikorteris elada sama hea kui endale (pangalaenuga) ostetud kodus.,likert,Overall,All,pigem ei ole nõus,134,0.34096692111959287,393
